Serovar	Group	O Antigen	Serogroup	H Phase 1	H Phase 2	Serogroup Formula	Antigenic Formula	Subspecies
Catalunia	O:28 (M)	28	M	l,z13,z28	1,5	M:l,z13,z28:1,5	28:l,z13,z28:1,5	I
Connecticut	O:11 (F)	11	F	l,z13,z28	1,5	F:l,z13,z28:1,5	11:l,z13,z28:1,5	I
Fallowfield	O:3,10 (E1)	3,10	E	l,z13,z28	e,n,z15	E:l,z13,z28:e,n,z15	3,10:l,z13,z28:e,n,z15	I
Hiduddify	O:8 (C2-C3)	6,8	C2-C3	l,z13,z28	1,5	C2-C3:l,z13,z28:1,5	6,8:l,z13,z28:1,5	I
Hoghton	O:3,10 (E1)	3,10	E	l,z13,z28	z6	E:l,z13,z28:z6	3,10:l,z13,z28:z6	I
II 1,9,12,46,27:l,z13,z28:z39	O:9,46,27 (D3)	1,9,12,46,27	D	l,z13,z28	z39	D:l,z13,z28:z39	1,9,12,46,27:l,z13,z28:z39	II
II 58:l,z13,z28:1,5	O:58	58	O-58	l,z13,z28	1,5	O-58:l,z13,z28:1,5	58:l,z13,z28:1,5	II
II 58:l,z13,z28:z6	O:58	58	O-58	l,z13,z28	z6	O-58:l,z13,z28:z6	58:l,z13,z28:z6	II
II 41:l,z13,z28:e,n,x,z15	O:41 (S)	41	S	l,z13,z28	e,n,x,z15	S:l,z13,z28:e,n,x,z15	41:l,z13,z28:e,n,x,z15	II
II 43:l,z13,z28:1,5	O:43 (U)	43	U	l,z13,z28	1,5	U:l,z13,z28:1,5	43:l,z13,z28:1,5	II
Kano	O:4 (B)	1,4,12,27	B	l,z13,z28	e,n,x	B:l,z13,z28:e,n,x	1,4,12,27:l,z13,z28:e,n,x	I
Koblenz	O:16 (l)	16	I	l,z13,z28	e,n,x	I:l,z13,z28:e,n,x	16:l,z13,z28:e,n,x	I
Kubacha	O:4 (B)	1,4,12,27	B	l,z13,z28	1,7	B:l,z13,z28:1,7	1,4,12,27:l,z13,z28:1,7	I
Lokstedt	O:1,3,19 (E4)	1,3,19	E	l,z13,z28	1,2	E:l,z13,z28:1,2	1,3,19:l,z13,z28:1,2	I
Makiso	O:7 (C1)	6,7	C1	l,z13,z28	z6	C1:l,z13,z28:z6	6,7:l,z13,z28:z6	I
Morocco	O:30 (N)	30	N	l,z13,z28	e,n,z15	N:l,z13,z28:e,n,z15	30:l,z13,z28:e,n,z15	I
Nordrhein	O:9,46 (D2)	9,46	D	l,z13,z28	e,n,z15	D:l,z13,z28:e,n,z15	9,46:l,z13,z28:e,n,z15	I
Ockenheim	O:30 (N)	30	N	l,z13,z28	1,6	N:l,z13,z28:1,6	30:l,z13,z28:1,6	I
Osnabrueck	O:11 (F)	11	F	l,z13,z28	e,n,x	F:l,z13,z28:e,n,x	11:l,z13,z28:e,n,x	I
Penilla	O:28 (M)	28	M	l,z13,z28	e,n,z15	M:l,z13,z28:e,n,z15	28:l,z13,z28:e,n,z15	I
Strathcona	O:7 (C1)	6,7	C1	l,z13,z28	1,7	C1:l,z13,z28:1,7	6,7:l,z13,z28:1,7	I
Teshie	O:47 (X)	1,47	X	l,z13,z28	e,n,z15	X:l,z13,z28:e,n,z15	1,47:l,z13,z28:e,n,z15	I
Tiko	O:40 (R) 	1,40	R	l,z13,z28	1,2	R:l,z13,z28:1,2	1,40:l,z13,z28:1,2	I
Vom	O:4 (B)	1,4,12,27	B	l,z13,z28	e,n,z15	B:l,z13,z28:e,n,z15	1,4,12,27:l,z13,z28:e,n,z15	I
Aflao	O:6,14 (H)	1,6,14,25	H	l,z28	e,n,x	H:l,z28:e,n,x	1,6,14,25:l,z28:e,n,x	I
Bukavu	O:40 (R) 	1,40	R	l,z28	1,5	R:l,z28:1,5	1,40:l,z28:1,5	I
Fajara	O:28 (M)	28	M	l,z28	e,n,x	M:l,z28:e,n,x	28:l,z28:e,n,x	I
Granlo	O:17 (J)	17	J	l,z28	e,n,x	J:l,z28:e,n,x	17:l,z28:e,n,x	I
II 1,4,12:l,z28:-	O:4 (B)	1,4,12	B	l,z28	-	B:l,z28:-	1,4,12:l,z28:-	II
II 1,4,12:l,z28:e,n,x	O:4 (B)	1,4,12	B	l,z28	e,n,x	B:l,z28:e,n,x	1,4,12:l,z28:e,n,x	II
II 6,7:l,z28:1,5	O:7 (C1)	6,7	C1	l,z28	1,5	C1:l,z28:1,5	6,7:l,z28:1,5	II
II 6,7:l,z28:e,n,x	O:7 (C1)	6,7	C1	l,z28	e,n,x	C1:l,z28:e,n,x	6,7:l,z28:e,n,x	II
II 6,7:l,z28:z6	O:7 (C1)	6,7	C1	l,z28	z6	C1:l,z28:z6	6,7:l,z28:z6	II
II 6,8:l,z28:e,n,x	O:8 (C2-C3)	6,8	C2-C3	l,z28	e,n,x	C2-C3:l,z28:e,n,x	6,8:l,z28:e,n,x	II
II 9,12:l,z28:1,5	O:9 (D1)	9,12	D	l,z28	1,5	D:l,z28:1,5	9,12:l,z28:1,5	II
II 9,12:l,z28:e,n,x	O:9 (D1)	9,12	D	l,z28	e,n,x	D:l,z28:e,n,x	9,12:l,z28:e,n,x	II
II 3,10:l,z28:1,5	O:3,10 (E1)	3,10	E	l,z28	1,5	E:l,z28:1,5	3,10:l,z28:1,5	II
II 3,10:l,z28:e,n,x	O:3,10 (E1)	3,10	E	l,z28	e,n,x	E:l,z28:e,n,x	3,10:l,z28:e,n,x	II
II 3,10:l,z28:z39	O:3,10 (E1)	3,10	E	l,z28	z39	E:l,z28:z39	3,10:l,z28:z39	II
II 11:l,z28:e,n,x	O:11 (F)	11	F	l,z28	e,n,x	F:l,z28:e,n,x	11:l,z28:e,n,x	II
II 13,22:l,z28:1,5	O:13 (G)	13,22	G	l,z28	1,5	G:l,z28:1,5	13,22:l,z28:1,5	II
II 13,23:l,z28:1,5	O:13 (G)	13,23	G	l,z28	1,5	G:l,z28:1,5	13,23:l,z28:1,5	II
II 1,13,23:l,z28:z42	O:13 (G)	1,13,23	G	l,z28	z42	G:l,z28:z42	1,13,23:l,z28:z42	II
II 13,23:l,z28:z6	O:13 (G)	13,23	G	l,z28	z6	G:l,z28:z6	13,23:l,z28:z6	II
II 16:l,z28:z42	O:16 (l)	16	I	l,z28	z42	I:l,z28:z42	16:l,z28:z42	II
II 28:l,z28:1,5	O:28 (M)	28	M	l,z28	1,5	M:l,z28:1,5	28:l,z28:1,5	II
II 28:l,z28:e,n,x	O:28 (M)	28	M	l,z28	e,n,x	M:l,z28:e,n,x	28:l,z28:e,n,x	II
II 30:l,z28:z6	O:30 (N)	30	N	l,z28	z6	N:l,z28:z6	30:l,z28:z6	II
II 51:l,z28:z39	O:51	51	O-51	l,z28	z39	O-51:l,z28:z39	51:l,z28:z39	II
II 51:l,z28:z6	O:51	51	O-51	l,z28	z6	O-51:l,z28:z6	51:l,z28:z6	II
II 53:l,z28:e,n,x	O:53	53	O-53	l,z28	e,n,x	O-53:l,z28:e,n,x	53:l,z28:e,n,x	II
II 53:l,z28:z39	O:53	53	O-53	l,z28	z39	O-53:l,z28:z39	53:l,z28:z39	II
II 53:l,z28:z6	O:53	53	O-53	l,z28	z6	O-53:l,z28:z6	53:l,z28:z6	II
II 56:l,z28:-	O:56	56	O-56	l,z28	-	O-56:l,z28:-	56:l,z28:-	II
II 35:l,z28:-	O:35 (O)	35	O	l,z28	-	O:l,z28:-	35:l,z28:-	II
II 39:l,z28:e,n,x	O:39 (Q)	39	Q	l,z28	e,n,x	Q:l,z28:e,n,x	39:l,z28:e,n,x	II
II 39:l,z28:z39	O:39 (Q)	39	Q	l,z28	z39	Q:l,z28:z39	39:l,z28:z39	II
II 1,40:l,z28:1,5	O:40 (R) 	1,40	R	l,z28	1,5	R:l,z28:1,5	1,40:l,z28:1,5	II
II 40:l,z28:e,n,x	O:40 (R) 	40	R	l,z28	e,n,x	R:l,z28:e,n,x	40:l,z28:e,n,x	II
II 1,40:l,z28:z39	O:40 (R) 	1,40	R	l,z28	z39	R:l,z28:z39	1,40:l,z28:z39	II
II 50:l,z28:z42	O:50 (Z)	50	Z	l,z28	z42	Z:l,z28:z42	50:l,z28:z42	II
Jambur	O:21 (L)	21	L	l,z28	e,n,z15	L:l,z28:e,n,z15	21:l,z28:e,n,z15	I
Javiana	O:9 (D1)	1,9,12	D	l,z28	1,5	D:l,z28:1,5	1,9,12:l,z28:1,5	I
Joal	O:3,10 (E1)	3,10	E	l,z28	1,7	E:l,z28:1,7	3,10:l,z28:1,7	I
Kindia	O:1,3,19 (E4)	1,3,19	E	l,z28	e,n,x	E:l,z28:e,n,x	1,3,19:l,z28:e,n,x	I
Kotu	O:9 (D1)	9,12	D	l,z28	1,6	D:l,z28:1,6	9,12:l,z28:1,6	I
Lamin	O:3,10 (E1)	3,10	E	l,z28	e,n,x	E:l,z28:e,n,x	3,10:l,z28:e,n,x	I
Malika	O:44 (V)	44	V	l,z28	1,5	V:l,z28:1,5	44:l,z28:1,5	I
Moundou	O:51	51	O-51	l,z28	1,5	O-51:l,z28:1,5	51:l,z28:1,5	I
Reinickendorf	O:4 (B)	4,12	B	l,z28	e,n,x	B:l,z28:e,n,x	4,12:l,z28:e,n,x	I
Santhiaba	O:40 (R) 	40	R	l,z28	1,6	R:l,z28:1,6	40:l,z28:1,6	I
Tomelilla	O:1,3,19 (E4)	1,3,19	E	l,z28	1,7	E:l,z28:1,7	1,3,19:l,z28:1,7	I
York	O:9 (D1)	9,12	D	l,z28	e,n,z15	D:l,z28:e,n,z15	9,12:l,z28:e,n,z15	I
Haelsingborg	O:7 (C1)	6,7	C1	m,p,t,[u]	-	C1:m,p,t,[u]:-	6,7:m,p,t,[u]:-	I
Haelsingborg	O:7 (C1)	6,7	C1	m,p,t	-	C1:m,p,t:-	6,7:m,p,t,[u]:-	I
