Serovar	Group	O Antigen	Serogroup	H Phase 1	H Phase 2	Serogroup Formula	Antigenic Formula	Subspecies
Shomolu	O:28 (M)	28	M	y	l,w	M:y:l,w	28:y:l,w	I
Sindelfingen	O:8 (C2-C3)	8,20	C2-C3	y	l,w	C2-C3:y:l,w	8,20:y:l,w	I
Slade	O:1,3,19 (E4)	1,3,19	E	y	e,n,z15	E:y:e,n,z15	1,3,19:y:e,n,z15	I
Solt	O:11 (F)	11	F	y	1,5	F:y:1,5	11:y:1,5	I
Spalentor	O:42 (T)	1,42	T	y	e,n,z15	T:y:e,n,z15	1,42:y:e,n,z15	I
Steinplatz	O:30 (N)	30	N	y	1,6	N:y:1,6	30:y:1,6	I
Steinwerder	O:54	3,15,54	O-54	y	1,5	O-54:y:1,5	3,15,54:y:1,5	I
Stockholm	O:3,10 (E1)	3,{10}{15}	E	y	z6	E:y:z6	3,{10}{15}:y:z6	I
Sunnycove	O:8 (C2-C3)	8	C2-C3	y	e,n,x	C2-C3:y:e,n,x	8:y:e,n,x	I
Tananarive	O:8 (C2-C3)	6,8	C2-C3	y	1,5	C2-C3:y:1,5	6,8:y:1,5	I
Tanger	O:13 (G)	1,13,22	G	y	1,6	G:y:1,6	1,13,22:y:1,6	I
Teddington	O:4 (B)	1,4,12,27	B	y	1,7	B:y:1,7	1,4,12,27:y:1,7	I
Telaviv	O:28 (M)	28	M	y	e,n,z15	M:y:e,n,z15	28:y:e,n,z15	I
Tendeba	O:17 (J)	17	J	y	e,n,x	J:y:e,n,x	17:y:e,n,x	I
Thies	O:1,3,19 (E4)	1,3,19	E	y	1,7	E:y:1,7	1,3,19:y:1,7	I
Trachau	O:4 (B)	4,12,27	B	y	1,5	B:y:1,5	4,12,27:y:1,5	I
Troy	O:18 (K)	18	K	y	1,7	K:y:1,7	18:y:1,7	I
Tunis	O:13 (G)	1,13,23	G	y	z6	G:y:z6	1,13,23:y:z6	I
Windermere	O:39 (Q)	39	Q	y	1,5	Q:y:1,5	39:y:1,5	I
Woumbou	O:11 (F)	11	F	y	e,n,x,z15	F:y:e,n,x,z15	11:y:e,n,x,z15	I
Yarrabah	O:13 (G)	13,23	G	y	1,7	G:y:1,7	13,23:y:1,7	I
Antsalova	O:51	51	O-51	z	1,5	O-51:z:1,5	51:z:1,5	I
Arusha	O:43 (U)	43	U	z	e,n,z15	U:z:e,n,z15	43:z:e,n,z15	I
Aurelianis	O:9 (D1)	9,12	D	z	e,n,z15	D:z:e,n,z15	9,12:z:e,n,z15	I
Bambylor	O:9,46 (D2)	9,46	D	z	e,n,z15	D:z:e,n,z15	9,46:z:e,n,z15	I
Bolama	O:44 (V)	44	V	z	e,n,x	V:z:e,n,x	44:z:e,n,x	I
Bouake	O:16 (l)	16	I	z	z6	I:z:z6	16:z:z6	I
Brackenridge	O:44 (V)	44	V	z	1,5	V:z:1,5	44:z:1,5	I
Brevik	O:16 (l)	16	I	z	e,n,[x],z15	I:z:e,n,[x],z15	16:z:e,n,[x],z15	I
Brisbane	O:28 (M)	28	M	z	e,n,z15	M:z:e,n,z15	28:z:e,n,z15	I
Bristol	O:13 (G)	13,22	G	z	1,7	G:z:1,7	13,22:z:1,7	I
Bruck	O:7 (C1)	6,7	C1	z	l,w	C1:z:l,w	6,7:z:l,w	I
Businga	O:7 (C1)	6,7	C1	z	e,n,z15	C1:z:e,n,z15	6,7:z:e,n,z15	I
Carno	O:1,3,19 (E4)	1,3,19	E	z	l,w	E:z:l,w	1,3,19:z:l,w	I
Casamance	O:40 (R) 	40	R	z	e,n,x	R:z:e,n,x	40:z:e,n,x	I
Cayar	O:7 (C1)	6,7	C1	z	e,n,x	C1:z:e,n,x	6,7:z:e,n,x	I
Chile	O:7 (C1)	6,7	C1	z	1,2	C1:z:1,2	6,7:z:1,2	I
Clerkenwell	O:3,10 (E1)	3,10	E	z	l,w	E:z:l,w	3,10:z:l,w	I
Crewe	O:11 (F)	11	F	z	1,5	F:z:1,5	11:z:1,5	I
Daula	O:8 (C2-C3)	8,20	C2-C3	z	z6	C2-C3:z:z6	8,20:z:z6	I
Dingiri	O:17 (J)	17	J	z	1,6	J:z:1,6	17:z:1,6	I
Doel	O:28 (M)	28	M	z	1,6	M:z:1,6	28:z:1,6	I
Entebbe	O:4 (B)	1,4,12,27	B	z	z6	B:z:z6	1,4,12,27:z:z6	I
Ezra	O:28 (M)	28	M	z	1,7	M:z:1,7	28:z:1,7	I
Farmsen	O:13 (G)	13,23	G	z	1,6	G:z:1,6	13,23:z:1,6	I
Fortlamy	O:16 (l)	16	I	z	1,6	I:z:1,6	16:z:1,6	I
Fufu	O:3,10 (E1)	3,10	E	z	1,5	E:z:1,5	3,10:z:1,5	I
Gerland	O:16 (l)	16	I	z	1,5	I:z:1,5	16:z:1,5	I
Gori	O:17 (J)	17	J	z	1,2	J:z:1,2	17:z:1,2	I
Harleystreet	O:3,10 (E1)	3,10	E	z	1,6	E:z:1,6	3,10:z:1,6	I
Hohentwiel	O:30 (N)	30	N	z	e,n,x,z15	N:z:e,n,x,z15	30:z:e,n,x,z15	I
Homosassa	O:6,14 (H)	1,6,14,25	H	z	1,5	H:z:1,5	1,6,14,25:z:1,5	I
Hongkong	O:1,3,19 (E4)	1,3,19	E	z	z6	E:z:z6	1,3,19:z:z6	I
Huddinge	O:3,10 (E1)	3,10	E	z	1,7	E:z:1,7	3,10:z:1,7	I
II 1,4,12,27:z:1,5	O:4 (B)	1,4,12,27	B	z	1,5	B:z:1,5	1,4,12,27:z:1,5	II
II 4,12:z:1,7	O:4 (B)	4,12	B	z	1,7	B:z:1,7	4,12:z:1,7	II
II 1,4,12,27:z:e,n,x	O:4 (B)	1,4,12,27	B	z	e,n,x	B:z:e,n,x	1,4,12,27:z:e,n,x	II
II 4,12:z:z39	O:4 (B)	4,12	B	z	z39	B:z:z39	4,12:z:z39	II
II 6,7:z:1,5	O:7 (C1)	6,7	C1	z	1,5	C1:z:1,5	6,7:z:1,5	II
II 6,7:z:e,n,x	O:7 (C1)	6,7	C1	z	e,n,x	C1:z:e,n,x	6,7:z:e,n,x	II
II 6,7:z:z39	O:7 (C1)	6,7	C1	z	z39	C1:z:z39	6,7:z:z39	II
II 6,7:z:z42	O:7 (C1)	6,7	C1	z	z42	C1:z:z42	6,7:z:z42	II
II 6,7:z:z6	O:7 (C1)	6,7	C1	z	z6	C1:z:z6	6,7:z:z6	II
II 6,8:z:1,5	O:8 (C2-C3)	6,8	C2-C3	z	1,5	C2-C3:z:1,5	6,8:z:1,5	II
II 9,46:z:1,5	O:9,46 (D2)	9,46	D	z	1,5	D:z:1,5	9,46:z:1,5	II
II 1,9,12:z:1,7	O:9 (D1)	1,9,12	D	z	1,7	D:z:1,7	1,9,12:z:1,7	II
II 9,46:z:e,n,x	O:9,46 (D2)	9,46	D	z	e,n,x	D:z:e,n,x	9,46:z:e,n,x	II
II 9,12:z:z39	O:9 (D1)	9,12	D	z	z39	D:z:z39	9,12:z:z39	II
II 9,46:z:z39	O:9,46 (D2)	9,46	D	z	z39	D:z:z39	9,46:z:z39	II
II 1,9,12:z:z6	O:9 (D1)	1,9,12	D	z	z6	D:z:z6	1,9,12:z:z6	II
II 3,10:z:1,5	O:3,10 (E1)	3,10	E	z	1,5	E:z:1,5	3,10:z:1,5	II
II 3,10:z:e,n,x	O:3,10 (E1)	3,10	E	z	e,n,x	E:z:e,n,x	3,10:z:e,n,x	II
II 3,10:z:z39	O:3,10 (E1)	3,10	E	z	z39	E:z:z39	3,10:z:z39	II
II 11:z:e,n,x	O:11 (F)	11	F	z	e,n,x	F:z:e,n,x	11:z:e,n,x	II
II 11:z:z39	O:11 (F)	11	F	z	z39	F:z:z39	11:z:z39	II
II 13,22:z:-	O:13 (G)	13,22	G	z	-	G:z:-	13,22:z:-	II
II 1,13,23:z:1,5	O:13 (G)	1,13,23	G	z	1,5	G:z:1,5	1,13,23:z:1,5	II
II 1,13,23:z:z42	O:13 (G)	1,13,23	G	z	z42	G:z:z42	1,13,23:z:z42	II
II 16:z:e,n,x	O:16 (l)	16	I	z	e,n,x	I:z:e,n,x	16:z:e,n,x	II
II 16:z:z42	O:16 (l)	16	I	z	z42	I:z:z42	16:z:z42	II
II 17:z:1,7	O:17 (J)	17	J	z	1,7	J:z:1,7	17:z:1,7	II
II 17:z:l,w	O:17 (J)	17	J	z	l,w	J:z:l,w	17:z:l,w	II
II 21:z:-	O:21 (L)	21	L	z	-	L:z:-	21:z:-	II
II 28:z:1,5	O:28 (M)	28	M	z	1,5	M:z:1,5	28:z:1,5	II
II 28:z:z39	O:28 (M)	28	M	z	z39	M:z:z39	28:z:z39	II
II 52:z:z39	O:52	52	O-52	z	z39	O-52:z:z39	52:z:z39	II
II 53:z:1,5	O:53	53	O-53	z	1,5	O-53:z:1,5	53:z:1,5	II
II 53:z:z6	O:53	53	O-53	z	z6	O-53:z:z6	53:z:z6	II
II 56:z:z6	O:56	56	O-56	z	z6	O-56:z:z6	56:z:z6	II
II 1,59:z:z6	O:59	1,59	O-59	z	z6	O-59:z:z6	1,59:z:z6	II
II 60:z:e,n,x	O:60	60	O-60	z	e,n,x	O-60:z:e,n,x	60:z:e,n,x	II
II 1,40:z:1,5	O:40 (R) 	1,40	R	z	1,5	R:z:1,5	1,40:z:1,5	II
II 1,40:z:z39	O:40 (R) 	1,40	R	z	z39	R:z:z39	1,40:z:z39	II
II 40:z:z42	O:40 (R) 	40	R	z	z42	R:z:z42	40:z:z42	II
II 1,40:z:z6	O:40 (R) 	1,40	R	z	z6	R:z:z6	1,40:z:z6	II
II 41:z:1,5	O:41 (S)	41	S	z	1,5	S:z:1,5	41:z:1,5	II
II 42:z:1,5	O:42 (T)	42	T	z	1,5	T:z:1,5	42:z:1,5	II
II 42:z:e,n,x,z15	O:42 (T)	42	T	z	e,n,x,z15	T:z:e,n,x,z15	42:z:e,n,x,z15	II
II 42:z:z6	O:42 (T)	42	T	z	z6	T:z:z6	42:z:z6	II
II 43:z:1,5	O:43 (U)	43	U	z	1,5	U:z:1,5	43:z:1,5	II
II 45:z:1,5	O:45 (W)	45	W	z	1,5	W:z:1,5	45:z:1,5	II
II 45:z:z39	O:45 (W)	45	W	z	z39	W:z:z39	45:z:z39	II
II 47:z:e,n,x,z15	O:47 (X)	47	X	z	e,n,x,z15	X:z:e,n,x,z15	47:z:e,n,x,z15	II
II 47:z:z6	O:47 (X)	47	X	z	z6	X:z:z6	47:z:z6	II
II 48:z:1,5	O:48 (Y)1	48	Y	z	1,5	Y:z:1,5	48:z:1,5	II
II 50:z:e,n,x	O:50 (Z)	50	Z	z	e,n,x	Z:z:e,n,x	50:z:e,n,x	II
IIIb 13,23:z:1,5	O:13 (G)	13,23	G	z	1,5	G:z:1,5	13,23:z:1,5	IIIb
IIIb 52:z:z52	O:52	52	O-52	z	z52	O-52:z:z52	52:z:z52	IIIb
IIIb 53:z:1,5,(7)	O:53	53	O-53	z	1,5,(7)	O-53:z:1,5,(7)	53:z:1,5,(7)	IIIb
IIIb 48:z:1,5,7	O:48 (Y)1	48	Y	z	1,5,7	Y:z:1,5,7	48:z:1,5,7	IIIb
IIIb 50:z:z52	O:50 (Z)	50	Z	z	z52	Z:z:z52	50:z:z52	IIIb
Indiana	O:4 (B)	1,4,12	B	z	1,7	B:z:1,7	1,4,12:z:1,7	I
Ivrysurseine	O:13 (G)	1,13,23	G	z	z6	G:z:z6	1,13,23:z:z6	I
Kainji	O:1,3,19 (E4)	1,3,19	E	z	1,6	E:z:1,6	1,3,19:z:1,6	I
Kalumburu	O:8 (C2-C3)	6,8	C2-C3	z	e,n,z15	C2-C3:z:e,n,z15	6,8:z:e,n,z15	I
Kanifing	O:6,14 (H)	1,6,14,25	H	z	1,6	H:z:1,6	1,6,14,25:z:1,6	I
Kaolack	O:47 (X)	47	X	z	1,6	X:z:1,6	47:z:1,6	I
Kassel	O:16 (l)	16	I	z	e,n,x	I:z:e,n,x	16:z:e,n,x	I
Kiambu	O:4 (B)	1,4,12	B	z	1,5	B:z:1,5	1,4,12:z:1,5	I
Kimpese	O:9 (D1)	9,12	D	z	1,6	D:z:1,6	9,12:z:1,6	I
Koenigstuhl	O:4 (B)	1,4,[5],12	B	z	e,n,z15	B:z:e,n,z15	1,4,[5],12:z:e,n,z15	I
Korlebu	O:1,3,19 (E4)	1,3,19	E	z	1,5	E:z:1,5	1,3,19:z:1,5	I
Kuru	O:8 (C2-C3)	6,8	C2-C3	z	l,w	C2-C3:z:l,w	6,8:z:l,w	I
Landwasser	O:3,10 (E1)	3,10	E	z	z6	E:z:z6	3,10:z:z6	I
Lawndale	O:9 (D1)	1,9,12	D	z	1,5	D:z:1,5	1,9,12:z:1,5	I
Lechler	O:51	51	O-51	z	e,n,z15	O-51:z:e,n,z15	51:z:e,n,z15	I
Lerum	O:1,3,19 (E4)	1,3,19	E	z	1,7	E:z:1,7	1,3,19:z:1,7	I
Lingwala	O:16 (l)	16	I	z	1,7	I:z:1,7	16:z:1,7	I
Loubomo	O:4 (B)	4,12	B	z	1,6	B:z:1,6	4,12:z:1,6	I
Marmande	O:8 (C2-C3)	6,8	C2-C3	z	1,7	C2-C3:z:1,7	6,8:z:1,7	I
Maroua	O:11 (F)	11	F	z	1,7	F:z:1,7	11:z:1,7	I
Melbourne	O:42 (T)	42	T	z	e,n,z15	T:z:e,n,z15	42:z:e,n,z15	I
Mountpleasant	O:47 (X)	47	X	z	1,5	X:z:1,5	47:z:1,5	I
Mowanjum	O:8 (C2-C3)	6,8	C2-C3	z	1,5	C2-C3:z:1,5	6,8:z:1,5	I
Mulhouse	O:9 (D1)	1,9,12	D	z	1,2	D:z:1,2	1,9,12:z:1,2	I
Neftenbach	O:4 (B)	4,12	B	z	e,n,x	B:z:e,n,x	4,12:z:e,n,x	I
Nowawes	O:40 (R) 	40	R	z	z6	R:z:z6	40:z:z6	I
Nyanza	O:11 (F)	11	F	z	z6	F:z:z6	11:z:z6	I
Oakland	O:7 (C1)	6,7	C1	z	1,6,[7]	C1:z:1,6,[7]	6,7:z:1,6,[7]	I
Ogbete	O:43 (U)	43	U	z	1,5	U:z:1,5	43:z:1,5	I
Phaliron	O:8 (C2-C3)	8	C2-C3	z	e,n,z15	C2-C3:z:e,n,z15	8:z:e,n,z15	I
Poano	O:6,14 (H)	[1],6,14,[25]	H	z	l,z13,z28	H:z:l,z13,z28	[1],6,14,[25]:z:l,z13,z28	I
Poitiers	O:7 (C1)	6,7	C1	z	1,5	C1:z:1,5	6,7:z:1,5	I
Poona	O:13 (G)	1,13,22	G	z	1,6	G:z:1,6	1,13,22:z:1,6	I
Potengi	O:18 (K)	18	K	z	-	K:z:-	18:z:-	I
Preston	O:4 (B)	1,4,12	B	z	l,w	B:z:l,w	1,4,12:z:l,w	I
Royan	O:6,14 (H)	1,6,14,25	H	z	e,n,z15	H:z:e,n,z15	1,6,14,25:z:e,n,z15	I
Sally	O:41 (S)	41	S	z	1,6	S:z:1,6	41:z:1,6	I
Schoeneberg	O:1,3,19 (E4)	1,3,19	E	z	e,n,z15	E:z:e,n,z15	1,3,19:z:e,n,z15	I
Shubra	O:4 (B)	4,[5],12	B	z	1,2	B:z:1,2	4,[5],12:z:1,2	I
Soahanina	O:6,14 (H)	6,14,24	H	z	e,n,x	H:z:e,n,x	6,14,24:z:e,n,x	I
Stachus	O:38 (P)	38	P	z	-	P:z:-	38:z:-	I
Sundsvall	O:6,14 (H)	[1],6,14,[25]	H	z	e,n,x	H:z:e,n,x	[1],6,14,[25]:z:e,n,x	I
Tanzania	O:13 (G)	1,13,22	G	z	e,n,z15	G:z:e,n,z15	1,13,22:z:e,n,z15	I
Tchamba	O:17 (J)	17	J	z	e,n,z15	J:z:e,n,z15	17:z:e,n,z15	I
Toucra	O:48 (Y)1	48	Y	z	1,5	Y:z:1,5	48:z:1,5	I
Treforest	O:51	1,51	O-51	z	1,6	O-51:z:1,6	1,51:z:1,6	I
Uhlenhorst	O:44 (V)	44	V	z	l,w	V:z:l,w	44:z:l,w	I
Ursenbach	O:42 (T)	1,42	T	z	1,6	T:z:1,6	1,42:z:1,6	I
Vanier	O:28 (M)	28	M	z	1,5	M:z:1,5	28:z:1,5	I
Warengo	O:17 (J)	17	J	z	1,5	J:z:1,5	17:z:1,5	I
Winslow	O:13 (G)	13,22	G	z	1,5	G:z:1,5	13,22:z:1,5	I
Worthington	O:13 (G)	1,13,23	G	z	l,w	G:z:l,w	1,13,23:z:l,w	I
Yopougon	O:45 (W)	45	W	z	e,n,z15	W:z:e,n,z15	45:z:e,n,z15	I
Adana	O:43 (U)	43	U	z10	1,5	U:z10:1,5	43:z10:1,5	I
Albert	O:4 (B)	4,12	B	z10	e,n,x	B:z10:e,n,x	4,12:z10:e,n,x	I
Angouleme	O:16 (l)	16	I	z10	z6	I:z10:z6	16:z10:z6	I
Aprad	O:45 (W)	45	W	z10	-	W:z10:-	45:z10:-	I
Badagry	O:16 (l)	16	I	z10	1,5	I:z10:1,5	16:z10:1,5	I
Barry	O:54	54	O-54	z10	e,n,z15	O-54:z10:e,n,z15	54:z10:e,n,z15	I
Bazenheid	O:8 (C2-C3)	8,20	C2-C3	z10	1,2	C2-C3:z10:1,2	8,20:z10:1,2	I
Bergues	O:51	51	O-51	z10	1,5	O-51:z10:1,5	51:z10:1,5	I
Biafra	O:3,10 (E1)	3,10	E	z10	z6	E:z10:z6	3,10:z10:z6	I
Camberene	O:35 (O)	35	O	z10	1,5	O:z10:1,5	35:z10:1,5	I
Canton	O:54	54	O-54	z10	e,n,x	O-54:z10:e,n,x	54:z10:e,n,x	I
Carnac	O:18 (K)	18	K	z10	z6	K:z10:z6	18:z10:z6	I
Chomedey	O:8 (C2-C3)	8,20	C2-C3	z10	e,n,z15	C2-C3:z10:e,n,z15	8,20:z10:e,n,z15	I
Cleveland	O:8 (C2-C3)	6,8	C2-C3	z10	1,7	C2-C3:z10:1,7	6,8:z10:1,7	I
Coquilhatville	O:3,10 (E1)	3,10	E	z10	1,7	E:z10:1,7	3,10:z10:1,7	I
Dallgow	O:1,3,19 (E4)	1,3,19	E	z10	e,n,z15	E:z10:e,n,z15	1,3,19:z10:e,n,z15	I
Demerara	O:13 (G)	13,23	G	z10	l,w	G:z10:l,w	13,23:z10:l,w	I
Djibouti	O:17 (J)	17	J	z10	e,n,x	J:z10:e,n,x	17:z10:e,n,x	I
Djugu	O:7 (C1)	6,7	C1	z10	e,n,x	C1:z10:e,n,x	6,7:z10:e,n,x	I
Enschede	O:35 (O)	35	O	z10	l,w	O:z10:l,w	35:z10:l,w	I
Eschweiler	O:7 (C1)	6,7	C1	z10	1,6	C1:z10:1,6	6,7:z10:1,6	I
Farakan	O:28 (M)	28	M	z10	1,5	M:z10:1,5	28:z10:1,5	I
Fortune	O:4 (B)	1,4,12,[27]	B	z10	z6	B:z10:z6	1,4,12,[27]:z10:z6	I
Glostrup	O:8 (C2-C3)	6,8	C2-C3	z10	e,n,z15	C2-C3:z10:e,n,z15	6,8:z10:e,n,z15	I
Guinea	O:44 (V)	1,44	V	z10	1,7	V:z10:1,7	1,44:z10:1,7	I
Hadar	O:8 (C2-C3)	6,8	C2-C3	z10	e,n,x	C2-C3:z10:e,n,x	6,8:z10:e,n,x	I
Haifa	O:4 (B)	1,4,[5],12	B	z10	1,2	B:z10:1,2	1,4,[5],12:z10:1,2	I
Harrisonburg	O:3,10 (E1)	3,{10}{15}{15,34}	E	z10	1,6	E:z10:1,6	3,{10}{15}{15,34}:z10:1,6	I
Hegau	O:39 (Q)	39	Q	z10	-	Q:z10:-	39:z10:-	I
II 1,9,12,46,27:z10:1,5	O:9,46,27 (D3)	1,9,12,46,27	D	z10	1,5	D:z10:1,5	1,9,12,46,27:z10:1,5	II
II 1,9,12,46,27:z10:e,n,x	O:9,46,27 (D3)	1,9,12,46,27	D	z10	e,n,x	D:z10:e,n,x	1,9,12,46,27:z10:e,n,x	II
II 9,46:z10:z39	O:9,46 (D2)	9,46	D	z10	z39	D:z10:z39	9,46:z10:z39	II
II 1,9,12,46,27:z10:z39	O:9,46,27 (D3)	1,9,12,46,27	D	z10	z39	D:z10:z39	1,9,12,46,27:z10:z39	II
II 9,46:z10:z6	O:9,46 (D2)	9,46	D	z10	z6	D:z10:z6	9,46:z10:z6	II
II 1,13,22:z10:z6	O:13 (G)	1,13,22	G	z10	z6	G:z10:z6	1,13,22:z10:z6	II
II 1,6,14:z10:1,5	O:6,14 (H)	1,6,14	H	z10	1,5	H:z10:1,5	1,6,14:z10:1,5	II
II 1,6,14:z10:z6	O:6,14 (H)	1,6,14	H	z10	z6	H:z10:z6	1,6,14:z10:z6	II
II 17:z10:-	O:17 (J)	17	J	z10	-	J:z10:-	17:z10:-	II
II 18:z10:z6	O:18 (K)	18	K	z10	z6	K:z10:z6	18:z10:z6	II
II 21:z10:-	O:21 (L)	21	L	z10	-	L:z10:-	21:z10:-	II
II 21:z10:z6	O:21 (L)	21	L	z10	z6	L:z10:z6	21:z10:z6	II
II 30:z10:e,n,x,z15	O:30 (N)	30	N	z10	e,n,x,z15	N:z10:e,n,x,z15	30:z10:e,n,x,z15	II
II 56:z10:e,n,x	O:56	56	O-56	z10	e,n,x	O-56:z10:e,n,x	56:z10:e,n,x	II
II 58:z10:1,6	O:58	58	O-58	z10	1,6	O-58:z10:1,6	58:z10:1,6	II
II 58:z10:z6	O:58	58	O-58	z10	z6	O-58:z10:z6	58:z10:z6	II
II 39:z10:z6	O:39 (Q)	39	Q	z10	z6	Q:z10:z6	39:z10:z6	II
II 40:z10:e,n,x	O:40 (R) 	40	R	z10	e,n,x	R:z10:e,n,x	40:z10:e,n,x	II
II 41:z10:1,2	O:41 (S)	41	S	z10	1,2	S:z10:1,2	41:z10:1,2	II
II 41:z10:e,n,x,z15	O:41 (S)	41	S	z10	e,n,x,z15	S:z10:e,n,x,z15	41:z10:e,n,x,z15	II
II 41:z10:z6	O:41 (S)	41	S	z10	z6	S:z10:z6	41:z10:z6	II
II 42:z10:1,2	O:42 (T)	42	T	z10	1,2	T:z10:1,2	42:z10:1,2	II
II 42:z10:e,n,x,z15	O:42 (T)	42	T	z10	e,n,x,z15	T:z10:e,n,x,z15	42:z10:e,n,x,z15	II
II 42:z10:z6	O:42 (T)	42	T	z10	z6	T:z10:z6	42:z10:z6	II
II 48:z10:-	O:48 (Y)1	48	Y	z10	-	Y:z10:-	48:z10:-	II
II 48:z10:1,5	O:48 (Y)1	48	Y	z10	1,5	Y:z10:1,5	48:z10:1,5	II
II 48:z10:1,6	O:48 (Y)1	48	Y	z10	1,6	Y:z10:1,6	48:z10:1,6	II
II 50:z10:z6	O:50 (Z)	50	Z	z10	z6	Z:z10:z6	50:z10:z6	II
IIIb (6),14:z10:e,n,x,z15	O:6,14 (H)	(6),14	H	z10	e,n,x,z15	H:z10:e,n,x,z15	(6),14:z10:e,n,x,z15	IIIb
IIIb (6),14:z10:z	O:6,14 (H)	(6),14	H	z10	z	H:z10:z	(6),14:z10:z	IIIb
IIIb 6,14:z10:z53	O:6,14 (H)	6,14	H	z10	z53	H:z10:z53	6,14:z10:z53	IIIb
IIIb 16:z10:1,7	O:16 (l)	16	I	z10	1,7	I:z10:1,7	16:z10:1,7	IIIb
IIIb 16:z10:e,n,x,z15	O:16 (l)	16	I	z10	e,n,x,z15	I:z10:e,n,x,z15	16:z10:e,n,x,z15	IIIb
IIIb 17:z10:e,n,x,z15	O:17 (J)	17	J	z10	e,n,x,z15	J:z10:e,n,x,z15	17:z10:e,n,x,z15	IIIb
IIIb 17:z10:z	O:17 (J)	17	J	z10	z	J:z10:z	17:z10:z	IIIb
IIIb 18:z10:e,n,x,z15	O:18 (K)	18	K	z10	e,n,x,z15	K:z10:e,n,x,z15	18:z10:e,n,x,z15	IIIb
IIIb 21:z10:e,n,x,z15	O:21 (L)	21	L	z10	e,n,x,z15	L:z10:e,n,x,z15	21:z10:e,n,x,z15	IIIb
IIIb 21:z10:z	O:21 (L)	21	L	z10	z	L:z10:z	21:z10:z	IIIb
IIIb 21:z10:z53	O:21 (L)	21	L	z10	z53	L:z10:z53	21:z10:z53	IIIb
IIIb 28:z10:z	O:28 (M)	28	M	z10	z	M:z10:z	28:z10:z	IIIb
IIIb 53:z10:z	O:53	53	O-53	z10	z	O-53:z10:z	53:z10:z	IIIb
IIIb 53:z10:z35	O:53	53	O-53	z10	z35	O-53:z10:z35	53:z10:z35	IIIb
IIIb 57:z10:z	O:57	57	O-57	z10	z	O-57:z10:z	57:z10:z	IIIb
IIIb 58:z10:e,n,x,z15	O:58	58	O-58	z10	e,n,x,z15	O-58:z10:e,n,x,z15	58:z10:e,n,x,z15	IIIb
IIIb 58:z10:z53	O:58	58	O-58	z10	z53	O-58:z10:z53	58:z10:z53	IIIb
IIIb 59:z10:z53	O:59	59	O-59	z10	z53	O-59:z10:z53	59:z10:z53	IIIb
IIIb 59:z10:z57	O:59	59	O-59	z10	z57	O-59:z10:z57	59:z10:z57	IIIb
IIIb 60:z10:z	O:60	60	O-60	z10	z	O-60:z10:z	60:z10:z	IIIb
IIIb 60:z10:z35	O:60	60	O-60	z10	z35	O-60:z10:z35	60:z10:z35	IIIb
IIIb 60:z10:z53	O:60	60	O-60	z10	z53	O-60:z10:z53	60:z10:z53	IIIb
IIIb 61:z10:z35	O:61	61	O-61	z10	z35	O-61:z10:z35	61:z10:z35	IIIb
IIIb 65:z10:e,n,x,z15	O:65	65	O-65	z10	e,n,x,z15	O-65:z10:e,n,x,z15	65:z10:e,n,x,z15	IIIb
IIIb 65:z10:z	O:65	65	O-65	z10	z	O-65:z10:z	65:z10:z	IIIb
IIIb 35:z10:z35	O:35 (O)	35	O	z10	z35	O:z10:z35	35:z10:z35	IIIb
IIIb 38:z10:z	O:38 (P)	38	P	z10	z	P:z10:z	38:z10:z	IIIb
IIIb 38:z10:z53	O:38 (P)	38	P	z10	z53	P:z10:z53	38:z10:z53	IIIb
IIIb 40:z10:z35	O:40 (R) 	40	R	z10	z35	R:z10:z35	40:z10:z35	IIIb
IIIb 42:z10:e,n,x,z15	O:42 (T)	42	T	z10	e,n,x,z15	T:z10:e,n,x,z15	42:z10:e,n,x,z15	IIIb
IIIb 42:z10:z	O:42 (T)	42	T	z10	z	T:z10:z	42:z10:z	IIIb
IIIb 42:z10:z35	O:42 (T)	42	T	z10	z35	T:z10:z35	42:z10:z35	IIIb
IIIb 42:z10:z67	O:42 (T)	42	T	z10	z67	T:z10:z67	42:z10:z67	IIIb
IIIb 47:z10:1,5,7	O:47 (X)	47	X	z10	1,5,7	X:z10:1,5,7	47:z10:1,5,7	IIIb
IIIb 47:z10:z	O:47 (X)	47	X	z10	z	X:z10:z	47:z10:z	IIIb
IIIb 47:z10:z35	O:47 (X)	47	X	z10	z35	X:z10:z35	47:z10:z35	IIIb
IIIb 48:z10:e,n,x,z15	O:48 (Y)1	48	Y	z10	e,n,x,z15	Y:z10:e,n,x,z15	48:z10:e,n,x,z15	IIIb
IIIb 48:z10:z	O:48 (Y)1	48	Y	z10	z	Y:z10:z	48:z10:z	IIIb
IIIb 50:z10:z	O:50 (Z)	50	Z	z10	z	Z:z10:z	50:z10:z	IIIb
IIIb 50:z10:z53	O:50 (Z)	50	Z	z10	z53	Z:z10:z53	50:z10:z53	IIIb
Inganda	O:7 (C1)	6,7	C1	z10	1,5	C1:z10:1,5	6,7:z10:1,5	I
Inglis	O:9,46 (D2)	9,46	D	z10	e,n,x	D:z10:e,n,x	9,46:z10:e,n,x	I
Inpraw	O:41 (S)	41	S	z10	e,n,x	S:z10:e,n,x	41:z10:e,n,x	I
Isaszeg	O:48 (Y)1	48	Y	z10	e,n,x	Y:z10:e,n,x	48:z10:e,n,x	I
