Serovar	O	H1	H2
II	G	m,t	e,n,x
II	H	m,t	e,n,x
II	I	m,t	e,n,x
II	R	m,t	e,n,x
II	-	z	e,n,x
II	A/D	z	e,n,x
II	B	z	e,n,x
II	C1	z	e,n,x
II	E	z	e,n,x
II	F	z	e,n,x
II	I	z	e,n,x
II	Z	z	e,n,x
II	-	z10	e,n,x
II	A/D	z10	e,n,x
II	R	z10	e,n,x
II	-	z29	e,n,x
II	A/D	z29	e,n,x
II	B	z29	e,n,x
II	C2-C3	z29	e,n,x
II	C2-C3	z29	e,n,x
II	G	z29	e,n,x
II	G	z29	e,n,x
II	I	z29	e,n,x
II	M	z29	e,n,x
II	O	z29	e,n,x
II	U	z29	e,n,x
II	V	z29	e,n,x
II	W	z29	e,n,x
II	I	z35	e,n,x
II	X	g,t	e,n,x
II	Q	g,m,t	e,n,x
II	X	-	e,n,x
II	X	a	e,n,x,z15
II	J	b	e,n,x,z15
II	T	b	e,n,x,z15
II	X	b	e,n,x,z15
II	Y	b	e,n,x,z15
II	R	c	e,n,x,z15
II	-	d	e,n,x,z15
II	U	d	e,n,x,z15
II	X	d	e,n,x,z15
II	W	g,m,t	e,n,x,z15
II	R	g,t	e,n,x,z15
II	N	k	e,n,x,z15
II	R	k	e,n,x,z15
II	Y	k	e,n,x,z15
II	T	l,v	e,n,x,z15
II	Z	l,w	e,n,x,z15
II	S	l,z13,z28	e,n,x,z15
II	K	y	e,n,x,z15
II	T	z	e,n,x,z15
II	X	z	e,n,x,z15
II	N	z10	e,n,x,z15
II	S	z10	e,n,x,z15
II	T	z10	e,n,x,z15
II	-	z29	e,n,x,z15
II	X	z29	e,n,x,z15
II	E	z35	e,n,x,z15
II	R	z35	e,n,x,z15
II	58	z39	e,n,x,z15
II	-	z39	e,n,x,z15
II	V	z39	e,n,x,z15
II	F	a	e,n,z15
II	F	c	e,n,z15
II	M	r	e,n,z15
II	I	z36	e,n,z15
II	-	c	k
II	E	a	l,v
II	J	z	l,w
II	W	a	z10
II	B	i	z35
II	A/D	a	z39
II	B	a	z39
II	C2-C3	a	z39
II	E	a	z39
II	N	a	z39
II	Q	a	z39
II	R	a	z39
II	Y	a	z39
II	A/D	b	z39
II	C1	b	z39
II	E	b	z39
II	I	b	z39
II	A/D	c	z39
II	J	c	z39
II	N	c	z39
II	R	c	z39
II	-	d	z39
II	-	d	z39
II	A/D	d	z39
II	P	d	z39
II	U	d	z39
II	X	d	z39
II	F	g,m,s,t	z39
II	C1	g,m,s,t	z39
II	B	g,m,t	z39
II	M	g,m,t	z39
II	J	g,t	z39
II	R	g,t	z39
II	-	k	z39
II	Y	k	z39
II	-	l,v	z39
II	A/D	l,v	z39
II	B	l,v	z39
II	A/D	l,z13,z28	z39
II	-	l,z28	z39
II	-	l,z28	z39
II	E	l,z28	z39
II	Q	l,z28	z39
II	R	l,z28	z39
II	A/D	m,t	z39
II	M	m,t	z39
II	R	m,t	z39
II	A/D	y	z39
II	A/D	y	z39
II	-	z	z39
II	A/D	z	z39
II	A/D	z	z39
II	B	z	z39
II	C1	z	z39
II	E	z	z39
II	F	z	z39
II	M	z	z39
II	R	z	z39
II	W	z	z39
II	A/D	z10	z39
II	A/D	z10	z39
II	A/D	z4,z24	z39
II	R	z4,z24	z39
II	G	k	z41
II	-	a	z42
II	A/D	a	z42
II	C1	a	z42
II	G	a	z42
II	G	b	z42
II	I	b	z42
II	U	b	z42
II	-	d	z42
II	C1	d	z42
II	U	d	z42
II	R	g,m,s,t	z42
II	-	g,m,s,t	z42
II	G	g,s,t	z42
II	G	g,m,s,t	z42
II	O	g,t	z42
II	V	g,t	z42
II	C1	l,w	z42
II	G	l,z28	z42
II	I	l,z28	z42
II	Z	l,z28	z42
II	G	m,t	z42
II	G	m,t	z42
II	R	m,t	z42
II	V	m,t	z42
II	C1	z	z42
II	G	z	z42
II	I	z	z42
II	R	z	z42
II	-	z29	z42
II	U	z29	z42
II	W	z29	z42
II	C1	z36	z42
II	E	z38	z42
II	C1	z4,z24	z42
II	C2-C3	a	z52
II	58	a	z6
II	A/D	a	z6
II	C1	a	z6
II	F	a	z6
II	U	a	z6
II	Y	a	z6
II	A/D	b	z6
II	J	b	z6
II	M	b	z6
II	N	b	z6
II	T	b	z6
II	X	b	z6
II	Y	b	z6
II	Z	b	z6
II	58	c	z6
II	R	c	z6
II	S	c	z6
II	58	d	z6
II	C2-C3	d	z6
II	S	d	z6
II	T	d	z6
II	Y	d	z6
II	Y	e,n,x,z15	z6
II	B	f,g,t	z6
II	S	g,m,s,t	z6
II	-	g,m,t	z6
II	G	g,t	z6
II	H	k	z6
II	R	k	z6
II	S	k	z6
II	Z	k	z6
II	E	l,v	z6
II	C2-C3	l,w	z6
II	I	l,w	z6
II	58	l,z13,z28	z6
II	-	l,z28	z6
II	-	l,z28	z6
II	C1	l,z28	z6
II	G	l,z28	z6
II	N	l,z28	z6
II	Z	m,t	z6
II	-	z	z6
II	-	z	z6
II	-	z	z6
II	A/D	z	z6
II	C1	z	z6
II	R	z	z6
II	T	z	z6
II	X	z	z6
II	58	z10	z6
II	A/D	z10	z6
II	G	z10	z6
II	H	z10	z6
II	K	z10	z6
II	Q	z10	z6
II	S	z10	z6
II	T	z10	z6
II	Z	z10	z6
II	R	z81	z6
II	-	k	z65
II	Y	z39	z81
II	M	e,n,z15	z87
II	Q	-	
II	G	-	
II	A/D	g,m,s,t	-
II	U	z42	-
II	-	b	-
II	G	b	-
II	P	d	-
II	I	g,m,s,t	-
II	R	g,m,s,t	-
II	Z	g,m,s,t	-
II	B	g,m,t	-
II	E	g,m,s,t	-
II	G	g,m,t	-
II	G	g,t	-
II	U	g,t	-
II	Y	z10	-
II	J	g,t	-
II	T	m,t	-
II	Q	g,m,t	-
II	C1	b	-
II	C2-C3	f,g,m,t	-
II	A/D	g,m,s,t	-
II	I	g,m,s,t	-
II	G	g,m,s,t	-
II	C1	g,t	-
II	A/D	g,z62	-
II	B	l,z28	-
II	M	m,t	-
II	E	z29	-
II	C1	g,m,s,t	-
II	U	g,m,s,t	-
II	I	m,t	-
II	C1	z29	-
II	C1	k	-
II	T	l,z13,z28	-
II	L	z10	-
IIIa	W	z29	-
IIIa	-	g,z51	-
IIIa	-	g,z51	-
IIIa	-	g,z51	-
IIIa	C1	g,z51	-
IIIa	G	g,z51	-
IIIa	K	g,z51	-
IIIa	L	g,z51	-
IIIa	O	g,z51	-
IIIa	P	g,z51	-
IIIa	S	g,z51	-
IIIa	U	g,z51	-
IIIa	U	g,z51	-
IIIa	W	g,z51	-
IIIa	X	g,z51	-
IIIa	Y	g,z51	-
IIIa	-	z29	-
IIIa	-	z29	-
IIIa	-	z29	-
IIIa	-	z29	-
IIIa	J	z29	-
IIIa	L	z29	-
IIIa	O	z29	-
IIIa	R	z29	-
IIIa	S	z29	-
IIIa	U	z29	-
IIIa	X	z29	-
IIIa	Y	z29	-
IIIa	Z	z29	-
IIIa	-	z36	-
IIIa	-	z36	-
IIIa	-	z36	-
IIIa	J	z36	-
IIIa	L	z36	-
IIIa	O	z36	-
IIIa	R	z36	-
IIIa	S	z36	-
IIIa	U	z36	-
IIIa	W	z36	-
IIIa	Y	z36	-
IIIa	Z	z36	-
IIIa	-	z4,z23	-
IIIa	-	z4,z23	-
IIIa	-	z4,z23	-
IIIa	-	z4,z23	-
IIIa	-	z4,z23	-
IIIa	-	z4,z23	-
IIIa	F	z4,z23	-
IIIa	G	z4,z23	-
IIIa	J	z4,z23	-
IIIa	K	z4,z23	-
IIIa	L	z4,z23	-
IIIa	O	z4,z23	-
IIIa	P	z4,z23	-
IIIa	R	z4,z23	-
IIIa	S	z4,z23	-
IIIa	T	z4,z23	-
IIIa	U	z4,z23	-
IIIa	V	z4,z23	-
IIIa	W	z4,z23	-
IIIa	X	z4,z23	-
IIIa	Y	z4,z23	-
IIIa	Z	z4,z23	-
IIIa	G	z4,z23,z32	-
IIIa	-	z4,z23,z32	-
IIIa	-	z4,z23,z32	-
IIIa	J	z4,z23,z32	-
IIIa	S	z4,z23,z32	-
IIIa	V	z4,z23,z32	-
IIIa	Y	z4,z23,z32	-
IIIa	Z	z4,z23,z32	-
IIIa	-	z4,z24	-
IIIa	-	z4,z24	-
IIIa	G	z4,z24	-
IIIa	J	z4,z24	-
IIIa	L	z4,z24	-
IIIa	O	z4,z24	-
IIIa	R	z4,z24	-
IIIa	S	z4,z24	-
IIIa	T	z4,z24	-
IIIa	U	z4,z24	-
IIIa	V	z4,z24	-
IIIa	W	z4,z24	-
IIIa	Y	z4,z24	-
IIIa	Z	z4,z24	-
IIIa	-	z4,z32	-
IIIa	-	z4,z32	-
IIIa	-	z4,z32	-
IIIa	J	z4,z32	-
IIIa	K	z4,z32	-
IIIa	O	z4,z32	-
IIIa	R	z4,z32	-
IIIa	S	z4,z32	-
IIIa	V	z4,z32	-
IIIa	W	z4,z32	-
IIIa	Y	z4,z32	-
IIIa	Z	z4,z32	-
IIIa	A/D	g,z51	1,5
IIIa	C1	g,z51	1,5
IIIb	U	g,t	-
IIIb	Y	z4,z24	-
IIIb	P	k	-
IIIb	T	g,z51	-
IIIb	T	r	-
IIIb	P	z53	-
IIIb	X	z53	-
IIIb	P	k	-
IIIb	P	-	-
IIIb	-	i	e,n,x,z15
IIIb	-	i	z
IIIb	-	i	z35
IIIb	P	l,v	z53
IIIb	P	z61	z53
IIIb	X	l,v	1,5,7
IIIb	C1	z39	1,2
IIIb	V	g,t	1,5
IIIb	G	z	1,5
IIIb	X	z52	1,5
IIIb	T	z57	1,5
IIIb	61	c	1,5,7
IIIb	61	k	1,5,7
IIIb	Y	k	1,5,7
IIIb	Y	l,v	1,5,7
IIIb	Z	r	1,5,7
IIIb	-	z	1,5,7
IIIb	-	z52	1,5,7
IIIb	P	k	1,5,7
IIIb	-	c	1,5,7
IIIb	X	c	1,5,7
IIIb	L	i	1,5,7
IIIb	R	i	1,5,7
IIIb	Z	i	1,5,7
IIIb	X	k	1,5,7
IIIb	Z	k	1,5,7
IIIb	61	l,v	1,5,7
IIIb	C1	l,v	1,5,7
IIIb	G	l,v	1,5,7
IIIb	I	l,v	1,5,7
IIIb	O	l,v	1,5,7
IIIb	T	l,v	1,5,7
IIIb	Y	l,w	1,5,7
IIIb	61	r	1,5,7
IIIb	P	r	1,5,7
IIIb	X	r	1,5,7
IIIb	Y	z	1,5,7
IIIb	X	z10	1,5,7
IIIb	61	z52	1,5,7
IIIb	O	z52	1,5,7
IIIb	X	z52	1,5,7
IIIb	Z	z52	1,5,7
IIIb	P	k	1,5,7
IIIb	P	-	1,5,7
IIIb	R	z39	1,6
IIIb	M	k	1,7
IIIb	I	z10	1,7
IIIb	H	b	e,n,x
IIIb	-	k	e,n,x,z15
IIIb	I	k	e,n,x,z15
IIIb	-	c	e,n,x,z15
IIIb	-	c	e,n,x,z15
IIIb	L	c	e,n,x,z15
IIIb	S	c	e,n,x,z15
IIIb	X	c	e,n,x,z15
IIIb	58	i	e,n,x,z15
IIIb	61	i	e,n,x,z15
IIIb	-	i	e,n,x,z15
IIIb	-	i	e,n,x,z15
IIIb	-	i	e,n,x,z15
IIIb	L	i	e,n,x,z15
IIIb	O	i	e,n,x,z15
IIIb	X	i	e,n,x,z15
IIIb	Z	i	e,n,x,z15
IIIb	-	k	e,n,x,z15
IIIb	-	k	e,n,x,z15
IIIb	-	k	e,n,x,z15
IIIb	L	k	e,n,x,z15
IIIb	O	k	e,n,x,z15
IIIb	P	k	e,n,x,z15
IIIb	T	k	e,n,x,z15
IIIb	X	k	e,n,x,z15
IIIb	Y	k	e,n,x,z15
IIIb	Z	k	e,n,x,z15
IIIb	58	l,v	e,n,x,z15
IIIb	-	l,v	e,n,x,z15
IIIb	-	l,v	e,n,x,z15
IIIb	J	l,v	e,n,x,z15
IIIb	K	l,v	e,n,x,z15
IIIb	O	l,v	e,n,x,z15
IIIb	T	l,v	e,n,x,z15
IIIb	X	l,v	e,n,x,z15
IIIb	Z	l,v	e,n,x,z15
IIIb	58	r	e,n,x,z15
IIIb	-	r	e,n,x,z15
IIIb	O	r	e,n,x,z15
IIIb	P	r	e,n,x,z15
IIIb	U	r	e,n,x,z15
IIIb	X	r	e,n,x,z15
IIIb	Y	r	e,n,x,z15
IIIb	Z	r	e,n,x,z15
IIIb	58	z10	e,n,x,z15
IIIb	-	z10	e,n,x,z15
IIIb	H	z10	e,n,x,z15
IIIb	I	z10	e,n,x,z15
IIIb	J	z10	e,n,x,z15
IIIb	K	z10	e,n,x,z15
IIIb	L	z10	e,n,x,z15
IIIb	T	z10	e,n,x,z15
IIIb	Y	z10	e,n,x,z15
IIIb	-	z52	e,n,x,z15
IIIb	H	z52	e,n,x,z15
IIIb	O	z52	e,n,x,z15
IIIb	X	z52	e,n,x,z15
IIIb	Y	z52	e,n,x,z15
IIIb	L	z65	e,n,x,z15
IIIb	-	k	e,n,x,z15
IIIb	I	k	e,n,x,z15
IIIb	-	-	e,n,x,z15
IIIb	I	-	e,n,x,z15
IIIb	-	k	z
IIIb	-	k	z
IIIb	-	k	z
IIIb	C1	k	z
IIIb	-	c	z
IIIb	-	c	z
IIIb	X	c	z
IIIb	Y	c	z
IIIb	G	g,m,s	z
IIIb	61	i	z
IIIb	-	i	z
IIIb	-	i	z
IIIb	-	i	z
IIIb	-	i	z
IIIb	O	i	z
IIIb	P	i	z
IIIb	X	i	z
IIIb	Y	i	z
IIIb	Z	i	z
IIIb	58	k	z
IIIb	-	k	z
IIIb	-	k	z
IIIb	H	k	z
IIIb	I	k	z
IIIb	J	k	z
IIIb	L	k	z
IIIb	O	k	z
IIIb	P	k	z
IIIb	R	k	z
IIIb	T	k	z
IIIb	U	k	z
IIIb	X	k	z
IIIb	Y	k	z
IIIb	Z	k	z
IIIb	61	l,v	z
IIIb	-	l,v	z
IIIb	-	l,v	z
IIIb	-	l,v	z
IIIb	-	l,v	z
IIIb	-	l,v	z
IIIb	F	l,v	z
IIIb	H	l,v	z
IIIb	I	l,v	z
IIIb	K	l,v	z
IIIb	L	l,v	z
IIIb	P	l,v	z
IIIb	R	l,v	z
IIIb	T	l,v	z
IIIb	X	l,v	z
IIIb	Y	l,v	z
IIIb	Z	l,v	z
IIIb	58	r	z
IIIb	61	r	z
IIIb	-	r	z
IIIb	-	r	z
IIIb	C2-C3	r	z
IIIb	H	r	z
IIIb	J	r	z
IIIb	K	r	z
IIIb	L	r	z
IIIb	O	r	z
IIIb	P	r	z
IIIb	T	r	z
IIIb	U	r	z
IIIb	X	r	z
IIIb	Y	r	z
IIIb	Z	r	z
IIIb	-	z10	z
IIIb	-	z10	z
IIIb	-	z10	z
IIIb	-	z10	z
IIIb	H	z10	z
IIIb	J	z10	z
IIIb	L	z10	z
IIIb	M	z10	z
IIIb	P	z10	z
IIIb	T	z10	z
IIIb	X	z10	z
IIIb	Y	z10	z
IIIb	Z	z10	z
IIIb	58	z52	z
IIIb	61	z52	z
IIIb	-	z52	z
IIIb	-	z52	z
IIIb	O	z52	z
IIIb	T	z52	z
IIIb	X	z52	z
IIIb	Y	z52	z
IIIb	-	k	z
IIIb	-	k	z
IIIb	-	k	z
IIIb	C1	k	z
IIIb	-	-	z
IIIb	-	-	z
IIIb	-	-	z
IIIb	C1	-	z
IIIb	-	k	z35
IIIb	-	k	z35
IIIb	-	k	z35
IIIb	C2-C3	k	z35
IIIb	I	k	z35
IIIb	O	k	z35
IIIb	P	k	z35
IIIb	S	k	z35
IIIb	T	k	z35
IIIb	61	c	z35
IIIb	X	c	z35
IIIb	61	i	z35
IIIb	-	i	z35
IIIb	I	i	z35
IIIb	J	i	z35
IIIb	O	i	z35
IIIb	X	i	z35
IIIb	Y	i	z35
IIIb	61	k	z35
IIIb	-	k	z35
IIIb	-	k	z35
IIIb	-	k	z35
IIIb	X	k	z35
IIIb	Y	k	z35
IIIb	Z	k	z35
IIIb	58	l,v	z35
IIIb	61	l,v	z35
IIIb	-	l,v	z35
IIIb	-	l,v	z35
IIIb	H	l,v	z35
IIIb	I	l,v	z35
IIIb	J	l,v	z35
IIIb	O	l,v	z35
IIIb	P	l,v	z35
IIIb	X	l,v	z35
IIIb	Z	l,v	z35
IIIb	61	r	z35
IIIb	-	r	z35
IIIb	-	r	z35
IIIb	-	r	z35
IIIb	-	r	z35
IIIb	O	r	z35
IIIb	P	r	z35
IIIb	Z	r	z35
IIIb	X	r,i	z35
IIIb	61	z10	z35
IIIb	-	z10	z35
IIIb	-	z10	z35
IIIb	O	z10	z35
IIIb	R	z10	z35
IIIb	T	z10	z35
IIIb	X	z10	z35
IIIb	58	z52	z35
IIIb	61	z52	z35
IIIb	-	z52	z35
IIIb	-	z52	z35
IIIb	-	z52	z35
IIIb	H	z52	z35
IIIb	I	z52	z35
IIIb	O	z52	z35
IIIb	P	z52	z35
IIIb	X	z52	z35
IIIb	Z	z52	z35
IIIb	-	k	z35
IIIb	-	k	z35
IIIb	-	k	z35
IIIb	C2-C3	k	z35
IIIb	I	k	z35
IIIb	O	k	z35
IIIb	P	k	z35
IIIb	S	k	z35
IIIb	T	k	z35
IIIb	-	-	z35
IIIb	-	-	z35
IIIb	-	-	z35
IIIb	C2-C3	-	z35
IIIb	I	-	z35
IIIb	O	-	z35
IIIb	P	-	z35
IIIb	S	-	z35
IIIb	T	-	z35
IIIb	-	z	z52
IIIb	Z	z	z52
IIIb	Y	z35	z52
IIIb	61	k	z53
IIIb	-	k	z53
IIIb	-	k	z53
IIIb	K	k	z53
IIIb	-	c	z53
IIIb	58	i	z53
IIIb	61	i	z53
IIIb	O	i	z53
IIIb	P	i	z53
IIIb	X	i	z53
IIIb	Y	i	z53
IIIb	Z	i	z53
IIIb	-	k	z53
IIIb	-	k	z53
IIIb	-	k	z53
IIIb	F	k	z53
IIIb	H	k	z53
IIIb	I	k	z53
IIIb	O	k	z53
IIIb	P	k	z53
IIIb	R	k	z53
IIIb	X	k	z53
IIIb	Y	k	z53
IIIb	Z	k	z53
IIIb	-	l,v	z53
IIIb	-	l,v	z53
IIIb	-	l,v	z53
IIIb	C1	l,v	z53
IIIb	F	l,v	z53
IIIb	H	l,v	z53
IIIb	I	l,v	z53
IIIb	K	l,v	z53
IIIb	R	l,v	z53
IIIb	T	l,v	z53
IIIb	U	l,v	z53
IIIb	X	l,v	z53
IIIb	58	r	z53
IIIb	61	r	z53
IIIb	-	r	z53
IIIb	R	r	z53
IIIb	T	r	z53
IIIb	U	r	z53
IIIb	X	r	z53
IIIb	Z	r	z53
IIIb	58	z10	z53
IIIb	-	z10	z53
IIIb	-	z10	z53
IIIb	H	z10	z53
IIIb	L	z10	z53
IIIb	P	z10	z53
IIIb	Z	z10	z53
IIIb	61	z52	z53
IIIb	-	z52	z53
IIIb	-	z52	z53
IIIb	-	z52	z53
IIIb	-	z52	z53
IIIb	P	z52	z53
IIIb	U	z52	z53
IIIb	Z	z52	z53
IIIb	61	k	z53
IIIb	-	k	z53
IIIb	-	k	z53
IIIb	K	k	z53
IIIb	61	-	z53
IIIb	-	-	z53
IIIb	-	-	z53
IIIb	K	-	z53
IIIb	K	k	z54
IIIb	K	k	z54
IIIb	K	-	z54
IIIb	P	k	z55
IIIb	P	k	z55
IIIb	P	-	z55
IIIb	L	l,v	z57
IIIb	X	l,v	z57
IIIb	Z	l,v	z57
IIIb	-	z10	z57
IIIb	Y	i	z61
IIIb	O	r	z61
IIIb	T	z10	z67
IIIb	-	r	z68
IIIb	-	i	-
IIIb	-	i	-
IIIb	-	i	-
IIIb	P	l,v	-
IIIb	P	z61	-
Ikayi	E	c	1,6
Ikeja	M	k	1,7
Ilala	M	k	1,5
Ilugun	E	z4,z23	z6
Imo	W	l,v	e,n,z15
Imo	W	l,v	-
Inchpark	C2-C3	y	1,7
India	A/D	l,v	1,5
Indiana	B	z	1,7
Infantis	C1	r	1,5
Inganda	C1	z10	1,5
Inglis	A/D	z10	e,n,x
Inpraw	S	z10	e,n,x
Inverness	P	k	1,6
Ipeko	A/D	c	1,6
Ipswich	S	z4,z24	1,5
Irchel	A/D	y	e,n,x
Irenea	J	k	1,5
Irigny	U	z38	-
Irumu	C1	l,v	1,5
Isangi	C1	d	1,5
Isaszeg	Y	z10	e,n,x
Israel	A/D	e,h	e,n,z15
Istanbul	C2-C3	z10	e,n,x
Istoria	H	r,i	1,5
Isuge	G	d	z6
Itami	A/D	l,z13	1,5
Ituri	B	z10	1,5
Itutaba	A/D	c	z6
IV	-	a	-
IV	V	a	-
IV	Z	a	-
IV	-	b	-
IV	Z	b	-
IV	Z	d	-
IV	R	g,t	-
IV	-	g,z51	-
IV	-	g,z51	-
IV	F	g,z51	-
IV	K	g,z51	-
IV	L	g,z51	-
IV	P	g,z51	-
IV	T	g,z51	-
IV	V	g,z51	-
IV	W	g,z51	-
IV	Y	g,z51	-
IV	Z	g,z51	-
IV	X	l,v	-
IV	L	m,t	-
IV	R	m,t	-
IV	J	z29	-
IV	S	z29	-
IV	U	z29	-
IV	V	z29	-
IV	Y	z29	-
IV	C1	z36	-
IV	I	z36	-
IV	J	z36	-
IV	L	z36	-
IV	S	z36	-
IV	T	z36	-
IV	X	z36	-
IV	V	z36,z38	-
IV	Y	z36,z38	-
IV	-	z36,z38	-
IV	K	z36,z38	-
IV	U	z36,z38	-
IV	W	z36,z38	-
IV	-	z4,z23	-
IV	-	z4,z23	-
IV	-	z4,z23	-
IV	C1	z4,z23	-
IV	F	z4,z23	-
IV	H	z4,z23	-
IV	I	z4,z23	-
IV	L	z4,z23	-
IV	P	z4,z23	-
IV	R	z4,z23	-
IV	S	z4,z23	-
IV	U	z4,z23	-
IV	V	z4,z23	-
IV	W	z4,z23	-
IV	Y	z4,z23	-
IV	Z	z4,z23	-
IV	C1	z4,z24	-
IV	I	z4,z24	-
IV	R	z4,z24	-
IV	T	z4,z24	-
IV	U	z4,z24	-
IV	V	z4,z24	-
IV	Z	z4,z24	-
IV	F	z4,z32	-
IV	I	z4,z32	-
IV	L	z4,z32	-
IV	R	z4,z32	-
IV	U	z4,z32	-
IV	V	z4,z32	-
IV	Y	z4,z32	-
IV	Z	z4,z32	-
IV	S	z52	-
IV	T	g,z51	1,5
IV	R	g,z51	e,n,x,z15
Ivory	I	r	1,6
Ivorycoast	Z	z29	-
Ivrysurseine	G	z	z6
Jaffna	A/D	d	z35
Jalisco	F	y	1,7
Jamaica	A/D	r	1,5
Jambur	L	l,z28	e,n,z15
Jangwani	J	a	1,5
Javiana	A/D	l,z28	1,5
Jedburgh	E	z29	-
Jericho	B	c	e,n,z15
Jerusalem	C1	z10	l,w
Joal	E	l,z28	1,7
Jodhpur	W	z29	-
Johannesburg	R	b	e,n,x
Jos	B	y	e,n,z15
Juba	E	a	1,7
Jubilee	J	e,h	1,2
Jukestown	G	i	e,n,z15
Kaapstad	B	e,h	1,7
Kabete	-	i	1,5
Kaduna	C1	c	e,n,z15
Kaevlinge	I	z4,z24	-
Kahla	T	z35	1,6
Kainji	E	z	1,6
Kaitaan	H	m,t	-
Kalamu	B	z4,z24	1,5
Kalamu	B	z4,z24	-
Kalina	E	b	1,2
Kallo	C2-C3	k	1,2
Kalumburu	C2-C3	z	e,n,z15
Kambole	C1	d	1,2,7
Kamoru	B	y	z6
Kampala	T	c	z6
Kande	E	b	e,n,z15
Kandla	J	z29	-
Kaneshie	T	i	l,w
Kanifing	H	z	1,6
Kano	B	l,z13,z28	e,n,x
Kaolack	X	z	1,6
Kapemba	A/D	l,v	1,7
Karachi	W	d	e,n,x
Karamoja	R	z41	1,2
Karaya	-	b	1,5
Karlshamn	J	d	e,n,z15
Kasenyi	P	e,h	1,5
Kassberg	H	c	1,6
Kassel	I	z	e,n,x
Kastrup	C1	e,n,z15	1,6
Kedougou	G	i	l,w
Kentucky	C2-C3	i	z6
Kenya	C1	l,z13	e,n,x
Kermel	V	d	e,n,x
Kethiabarny	M	z4,z24	-
Keurmassar	O	c	1,2
Keve	L	l,w	-
Kiambu	B	z	1,5
Kibi	I	z4,z23	1,6
Kibi	I	z4,z23	-
Kibusi	M	r	e,n,x
Kidderminster	P	c	1,6
Kiel	A/D	g,p	-
Kikoma	I	y	e,n,x
Kimberley	P	l,v	1,5
Kimpese	A/D	z	1,6
Kimuenza	B	l,v	e,n,x
Kindia	E	l,z28	e,n,x
Kingabwa	U	y	1,5
Kingston	B	g,s,t	1,2
Kingston	B	g,s,t	-
Kinondoni	J	a	e,n,x
Kinson	E	y	e,n,x
Kintambo	G	m,t	-
Kirkee	J	b	1,2
Kisangani	B	a	1,2
Kisarawe	F	k	e,n,x,z15
Kisii	C1	d	1,2
Kitenge	M	y	e,n,x
Kivu	C1	d	1,6
Klouto	P	z38	-
Koblenz	I	l,z13,z28	e,n,x
Kodjovi	X	c	1,6
Koenigstuhl	B	z	e,n,z15
Koessen	A/D	l,v	1,5
Kofandoka	W	r	e,n,z15
Koketime	V	z38	-
Kokoli	N	z35	1,6
Kokomlemle	Q	l,v	e,n,x
Kolar	A/D	b	z35
Kolda	C2-C3	z35	1,2
Konolfingen	M	z35	1,6
Konongo	S	r	1,7
Konstanz	C2-C3	b	e,n,x
Korbol	C2-C3	b	1,5
Korkeasaari	M	e,h	1,5
Korlebu	E	z	1,5
Korovi	P	g,m,s	-
Kortrijk	C1	l,v	1,7
Kottbus	C2-C3	e,h	1,5
Kotte	C1	b	z35
Kotu	A/D	l,z28	1,6
Kouka	E	g,m,t	-
Koumra	C1	b	1,7
Kpeme	M	e,h	1,7
Kralingen	C2-C3	y	z6
Krefeld	E	y	l,w
Kristianstad	E	z10	e,n,z15
Kua	V	z4,z23	-
Kubacha	B	l,z13,z28	1,7
Kuessel	M	i	e,n,z15
Kumasi	N	z10	e,n,z15
Kunduchi	B	l,z13,z28	1,2
Kuntair	H	b	1,5
Kuru	C2-C3	z	l,w
Labadi	C2-C3	d	z6
Lagos	B	i	1,5
Lamberhurst	E	e,h	e,n,z15
Lamin	E	l,z28	e,n,x
Lamphun	C2-C3	y	1,2
Lancaster	J	l,v	1,7
Landala	S	z10	1,6
Landau	N	i	1,2
Landwasser	E	z	z6
Langenhorn	K	m,t	-
Langensalza	E	y	l,w
Langeveld	C1	l,w	e,n,z15
Langford	M	b	e,n,z15
Lansing	P	i	1,5
Laredo	H	z10	1,6
Larochelle	C1	e,h	1,2
Larose	B	g,z51	e,n,z15
Lattenkamp	W	z35	1,5
Lawndale	A/D	z	1,5
Lawra	V	k	e,n,z15
Leatherhead	S	m,t	1,6
Lechler	-	z	e,n,z15
Leda	-	-	1,6
Leer	K	z10	1,5
Leeuwarden	F	b	1,5
Legon	B	c	1,5
Lehrte	I	r	z6
Leiden	G	z38	-
Leipzig	S	z10	1,5
Leith	C2-C3	a	e,n,z15
Lekke	E	d	1,6
Lene	F	z38	-
Leoben	M	l,v	1,5
Leopoldville	C1	b	z6
Lerum	E	z	1,7
Lexington	E	z10	1,5
Lezennes	C2-C3	z4,z23	1,7
Libreville	M	z10	1,6
Ligeo	N	l,v	1,2
Ligna	O	z10	z6
Lika	C1	i	1,7
Lille	C1	z38	-
Limete	B	b	1,5
Lindenburg	C2-C3	i	1,2
Lindern	H	d	e,n,x
Lindi	P	r	1,5
Linguere	A/D	b	z6
Lingwala	I	z	1,7
Linton	G	r	e,n,z15
Lisboa	I	z10	1,6
Lishabi	A/D	z10	1,7
Litchfield	C2-C3	l,v	1,2
Liverpool	E	d	e,n,z15
Livingstone	C1	d	l,w
Livulu	N	e,h	1,2
Ljubljana	B	k	e,n,x
Llandoff	E	z29	z6
Llandoff	E	z29	-
Llobregat	V	z10	e,n,x
Loanda	C2-C3	l,v	1,5
Lockleaze	C1	b	e,n,x
Lode	J	r	1,2
Lodz	S	z29	-
Loenga	T	z10	z6
Logone	Q	d	1,5
Lokomo	J	y	l,w
